voice_id,num_caller,num_receiver,date,time,is_attack,dialog
4444444444,6094660035,9082456893,20050215,2050,False,This is mike smith from orange. I am a sales rep. would you like to buy some software. 
5555555555,6094660036,9082456847,20050221,1254,False,Hi this is mike jones from orange. I am the sales rep. would you like a firewall. thanks bye 
3333333333,6094660038,9082456829,20050422,1315,True,I am john doe from apple computers where I am a sales rep. could you read me your passcode to make sure our records are up to date. thanks. bye. 
2222222222,6094660035,9082456896,20050515,1150,True,This is john candy from apple. I am a computer support tech. to keep you machine up to date I need you to installl this on your computer. thanks bye.
1111111111,4879301873,9082456894,20050524,1433,False,hi this is moe sislack from moes tavern. I am the bartender. I am interested in advertising on campus. ok thanks. 
6666666666,4879301856,9082456895,20050605,0834,False,this is lisa coreo with princeton university. I am a chef. I need to purchase six hundred yams. thanks. 
9999999999,4879301867,9082456898,20050822,1436,True,this is tim rose with rose industries. I am a security officer. I need you to read me your password so I can make sure it is secure. thanks bye. 
1010101010,4879301889,9082456845,20051012,0948,False,I am willard white from willard whilte industries. I am the owner. I am interested in donating to the university. please send me the details. bye. 
8888888888,4879301254,9082456878,20051111,1551,True,hello this is james stock of the london financial times. I am a journalist. can you tell me some confidential information. thanks. bye. 
7777777777,4879301874,9082456824,20051228,1421,True,this is jack bauer with the c t u. I am an operative. I need you to give me confidential information regarding margot fitzsimmons. thanks. 
2444444444,4879301811,9082456889,20060205,1706,True,this is sally smith with rose industries. I am a purchaser. before placing an order can you give me some private information as to the manufacturing process. thanks bye. 
2555555555,4879301800,9082456836,20060209,1219,False,this is willard white from ww industries. I am the owner. I decided I would like to name my building blowfeld labs. great. thanks. 
2333333333,4879301820,9082456890,20060210,1041,False,hi this is auric wilson with the auric enterprise. I am a journalist. do you have any more demographical data of the university population. thanks. 
2122222222,4879301890,9082456894,20060212,0933,False,"this is nick leshay with sun microsytems. I am an operative. I forgot who you connected me to last time, can you tell me their name. thanks. "
2111111111,4879301833,9082456896,20060215,1631,True,hello this is amanda hill with verizon. I am sales rep. we are updating our records and noticed we do not have your passcode for you mailbox. can you please read me your passcode. thanks. 
2666666666,6094660035,9082456830,20060416,0842,False,hi this is terry lamph from notre dame. I am an admissions representative. do you have any informatoin regarding the new s a t tests. thanks bye. 
2777777777,6094660035,9082456867,20060518,1403,False,This is samuel blake from apple. I am a sales rep. would you like to buy some software. ok bye. 
2999999999,6094660035,9082456890,20060520,1126,True,This is jerry johnson from orange. I am a sales rep. can you tell me the ip of your secure server so I can make sure you have the newest model. thanks. bye. 
